iter	Passed	Remaining
1411	48046	292227
1412	48082	292201
1413	48115	292166
1414	48148	292123
1415	48186	292114
1416	48219	292072
1417	48250	292019
1418	48281	291967
1419	48315	291935
1420	48349	291900
1421	48380	291848
1422	48410	291792
1423	48443	291748
1424	48477	291717
1425	48509	291670
1426	48544	291639
1427	48577	291599
1428	48607	291543
1429	48639	291495
1430	48673	291465
1431	48709	291439
1432	48746	291425
1433	48781	291395
1434	48817	291373
1435	48847	291314
1436	48884	291301
1437	48920	291278
1438	48957	291259
1439	48990	291218
1440	49023	291180
1441	49065	291195
1442	49098	291152
1443	49135	291138
1444	49169	291102
1445	49205	291079
1446	49242	291065
1447	49276	291030
1448	49306	290971
1449	49336	290917
1450	49371	290885
1451	49403	290840
1452	49435	290796
1453	49471	290770
1454	49501	290714
1455	49533	290671
1456	49568	290637
1457	49600	290594
1458	49633	290556
1459	49672	290549
1460	49704	290502
1461	49739	290473
1462	49771	290432
1463	49805	290398
1464	49837	290351
1465	49874	290333
1466	49910	290311
1467	49942	290267
1468	49979	290249
1469	50011	290205
1470	50045	290168
1471	50080	290142
1472	50111	290090
1473	50144	290049
1474	50177	290010
1475	50212	289980
1476	50244	289932
1477	50278	289902
1478	50314	289876
1479	50349	289848
1480	50383	289813
1481	50417	289781
1482	50447	289721
1483	50478	289674
1484	50513	289644
1485	50545	289596
1486	50580	289568
1487	50617	289551
1488	50649	289506
1489	50683	289476
1490	50713	289415
1491	50744	289367
1492	50779	289339
1493	50818	289330
1494	50848	289274
1495	50881	289237
1496	50912	289185
1497	50947	289156
1498	50982	289129
1499	51016	289095
1500	51050	289059
1501	51085	289029
1502	51120	289001
1503	51155	288971
1504	51192	288958
1505	51224	288911
1506	51257	288872
1507	51291	288839
1508	51328	288818
1509	51361	288781
1510	51396	288750
1511	51428	288706
1512	51467	288699
1513	51503	288680
1514	51544	288682
1515	51579	288652
1516	51611	288608
1517	51643	288565
1518	51677	288532
1519	51712	288499
1520	51746	288466
1521	51778	288424
1522	51813	288390
1523	51848	288363
1524	51879	288315
1525	51911	288269
1526	51942	288217
1527	51976	288181
1528	52010	288152
1529	52047	288134
1530	52077	288078
1531	52108	288023
1532	52148	288024
1533	52180	287978
1534	52212	287931
1535	52242	287878
1536	52276	287841
1537	52307	287792
1538	52334	287723
1539	52367	287683
1540	52405	287668
1541	52439	287633
1542	52475	287610
1543	52511	287586
1544	52545	287555
1545	52584	287545
1546	52615	287496
1547	52649	287463
1548	52682	287422
1549	52715	287386
1550	52751	287361
1551	52786	287334
1552	52819	287293
1553	52854	287262
1554	52883	287203
1555	52915	287157
1556	52950	287129
1557	52981	287081
1558	53013	287034
1559	53047	287002
1560	53083	286976
1561	53117	286942
1562	53149	286899
1563	53184	286871
1564	53217	286830
1565	53248	286782
1566	53283	286751
1567	53315	286709
1568	53350	286679
1569	53387	286659
1570	53419	286613
1571	53449	286559
1572	53484	286533
1573	53518	286495
1574	53553	286467
1575	53589	286445
1576	53622	286404
1577	53660	286393
1578	53697	286372
1579	53735	286364
1580	53769	286327
1581	53806	286308
1582	53841	286281
1583	53872	286232
1584	53904	286186
1585	53938	286150
1586	53971	286111
1587	54008	286096
1588	54046	286083
1589	54077	286033
1590	54113	286006
1591	54148	285979
1592	54179	285931
1593	54214	285901
1594	54247	285862
1595	54279	285816
1596	54308	285758
1597	54342	285722
1598	54375	285682
1599	54407	285637
1600	54438	285589
1601	54474	285564
1602	54505	285517
1603	54540	285485
1604	54577	285468
1605	54609	285422
1606	54643	285388
1607	54677	285357
1608	54712	285326
1609	54745	285289
1610	54779	285252
1611	54814	285226
1612	54848	285191
1613	54878	285136
1614	54908	285083
1615	54941	285044
1616	54977	285021
1617	55008	284972
1618	55043	284941
1619	55076	284900
1620	55112	284879
1621	55146	284841
1622	55181	284813
1623	55217	284793
1624	55250	284752
1625	55281	284702
1626	55317	284678
1627	55349	284635
1628	55379	284582
1629	55415	284556
1630	55447	284514
1631	55479	284466
1632	55515	284443
1633	55552	284425
1634	55588	284401
1635	55622	284370
1636	55656	284332
1637	55687	284284
1638	55720	284247
1639	55754	284212
1640	55789	284183
1641	55824	284155
1642	55861	284135
1643	55894	284096
1644	55928	284061
1645	55961	284023
1646	55992	283971
1647	56028	283952
1648	56061	283912
1649	56096	283880
1650	56130	283849
1651	56162	283802
1652	56193	283752
1653	56223	283701
1654	56254	283650
1655	56286	283608
1656	56319	283568
1657	56354	283538
1658	56390	283514
1659	56424	283479
1660	56458	283449
1661	56493	283417
1662	56532	283409
1663	56568	283388
